SEQ_NO,BR_NAME,BR_ID,BR_ADD,BR_CALL,WAIT_NO,,,,,,,,,,,,,,,
1,명동금융센터,20004,서울 중구 명동2가 33-2,02)774-4011,28,,,,,,,,,,,,,,,
2,중부금융센터,20005,서울 중구 저동2가 24-1,02)2266-5171,21,,,,,,,,,,,,,,,
3,역전금융센터,20009,서울 중구 남대문로5가 84-11,02)2259-0351,10,,,,,,,,,,,,,,,
4,종로YMCA지점,20010,서울 종로구 종로2가 9,02)734-2661,10,,,,,,,,,,,,,,,
5,광화문지점,20015,서울 종로구 도렴동 60 도렴빌딩,02)735-6905,24,,,,,,,,,,,,,,,
6,동자동금융센터,20016,서울 용산구 동자동 56,02)754-4491,7,,,,,,,,,,,,,,,
7,청구역지점,20017,서울 중구 신당동 309-15,02)2234-2141,28,,,,,,,,,,,,,,,
8,신촌금융센터,20018,서울 마포구 노고산동 31-6,02)715-0071,24,,,,,,,,,,,,,,,
9,노량진지점,20047,서울 동작구 노량진동 42-11,02)815-4301,9,,,,,,,,,,,,,,,
10,신길중앙지점,20054,서울 영등포구 신길3동 252-6,02)832-2756,24,,,,,,,,,,,,,,,
11,한강로금융센터,20056,서울 용산구 한강로2가 419 아스테리움 용산 지하 1층,02)794-0271,1,,,,,,,,,,,,,,,
12,미아동지점,20058,서울 강북구 미아동 65-2,02)988-2601,3,,,,,,,,,,,,,,,
13,서울스퀘어금융센터,20060,서울 중구 남대문로5가 541 서울스퀘어,02)778-0901,3,,,,,,,,,,,,,,,
14,종로금융센터,20061,서울 중구 남대문로1가 19,02)734-4491,18,,,,,,,,,,,,,,,
15,동대문금융센터,20063,서울 종로구 종로6가 289-55,02)2278-5121,13,,,,,,,,,,,,,,,
16,응암동지점,20067,서울 은평구 응암동 93,02)359-5410,0,,,,,,,,,,,,,,,
17,서교중앙금융센터,20068,서울 마포구 동교동 205-20,02)332-6331,10,,,,,,,,,,,,,,,
18,영동금융센터,20073,서울 강남구 청담동 41-2외,02)546-0911,0,,,,,,,,,,,,,,,
19,아현동금융센터,20077,서울 마포구 아현동 437-3,02)363-0171,5,,,,,,,,,,,,,,,
20,DL금융센터,20082,서울 종로구 평동 222,02)730-5273,26,,,,,,,,,,,,,,,
21,서여의도금융센터,20085,서울 영등포구 여의도동 14-33,02)783-6653,4,,,,,,,,,,,,,,,
22,군자역금융센터,20086,서울 광진구 군자동 478-5,02)3409-2210,13,,,,,,,,,,,,,,,
23,청담동금융센터,20096,서울 강남구 청담동 132-19,02)544-9161,8,,,,,,,,,,,,,,,
24,답십리지점,20097,서울 동대문구 답십리동 494-2,02)2248-9185,11,,,,,,,,,,,,,,,
25,압구정현대PB영업점,20101,서울 강남구 압구정동 456,02)542-2801,27,,,,,,,,,,,,,,,
26,여의도금융센터,20103,서울 영등포구 여의도동 44-1,02)785-7100,7,,,,,,,,,,,,,,,
27,천호동금융센터,20108,서울 강동구 천호동 451,02)476-8131,12,,,,,,,,,,,,,,,
28,효자동지점,20109,서울 종로구 통인동 156-2,02)735-6814,6,,,,,,,,,,,,,,,
29,구로본동지점,20115,서울 구로구 구로본동 426-6,02)866-2231,27,,,,,,,,,,,,,,,
30,삼성동금융센터,20116,서울 강남구 대치동 995-7,02)553-1711,21,,,,,,,,,,,,,,,
31,명일동지점,20117,서울 강동구 명일동 324-14,02)3426-8596,12,,,,,,,,,,,,,,,
32,남역삼동금융센터,20122,서울 강남구 역삼동 788-2,02)557-7090,17,,,,,,,,,,,,,,,
33,망우동지점,20124,서울 중랑구 망우3동 531-6,02)491-0010,10,,,,,,,,,,,,,,,
34,북가좌동지점,20129,서울 서대문구 북가좌동 306-17,02)303-3671,21,,,,,,,,,,,,,,,
35,잠실본동지점,20132,서울 송파구 잠실동 196,02)415-0221,3,,,,,,,,,,,,,,,
36,서초금융센터,20133,서울 서초구 서초동 1328-3 나라종합금융빌딩 1층,02)3473-2511,27,,,,,,,,,,,,,,,
37,독산동지점,20134,서울 금천구 독산동 150-1,02)851-8011,10,,,,,,,,,,,,,,,
38,면목동지점,20139,서울 중랑구 면목7동 632-3,02)434-1112,16,,,,,,,,,,,,,,,
39,여의도중앙금융센터,20143,서울 영등포구 여의도동 25-3,02)783-4101,21,,,,,,,,,,,,,,,
40,경희대학교지점,20146,서울 동대문구 회기동 36-3,02)957-8041,21,,,,,,,,,,,,,,,
41,도산대로금융센터,20147,서울특별시 강남구 신사동 629-15 (주)평화자동차강남사옥,02)546-4077,23,,,,,,,,,,,,,,,
42,동역삼동금융센터,20148,서울 강남구 역삼동 647-15,02)553-1751,29,,,,,,,,,,,,,,,
43,광장동지점,20161,서울 광진구 광장동 218-1,02)453-5451,15,,,,,,,,,,,,,,,
44,가락중앙금융센터,20163,서울 송파구 가락동 78 IT벤처타워빌딩(서관),02)431-0506,11,,,,,,,,,,,,,,,
45,마포금융센터,20165,서울 마포구 도화동 50-1,02)719-9411,11,,,,,,,,,,,,,,,
46,상봉동지점,20166,서울 중랑구 망우2동 490-3,02)495-5507,0,,,,,,,,,,,,,,,
47,테헤란로금융센터,20169,서울 강남구 역삼동 823 풍림빌딩,02)553-6347,20,,,,,,,,,,,,,,,
48,신림역금융센터,20172,서울 관악구 신림동 1432-81,02)875-4011,0,,,,,,,,,,,,,,,
49,대치역금융센터,20176,서울 강남구 대치동 629,02)569-9031,3,,,,,,,,,,,,,,,
50,올림픽지점,20185,서울 송파구 방이동 89-20 올림픽선수촌,02)431-8521,11,,,,,,,,,,,,,,,
51,법조타운금융센터,20188,서울 서초구 서초동 1716-3 서초빌딩,02)587-7636,28,,,,,,,,,,,,,,,
52,마들역지점,20189,서울 노원구 상계동 651-3,02)934-5611,27,,,,,,,,,,,,,,,
53,양재중앙금융센터,20203,서울 서초구 양재동 275-1외,02)589-1900,22,,,,,,,,,,,,,,,
54,마곡나루역지점,20205,서울 강서구 마곡동 757-5,02)2666-0071,27,,,,,,,,,,,,,,,
55,목동지점,20212,서울 양천구 목동 917-1,02)2652-0101,30,,,,,,,,,,,,,,,
56,강서금융센터,20213,서울 강서구 화곡동 998-2,02)2603-8551,14,,,,,,,,,,,,,,,
57,충정로금융센터,20217,서울 서대문구 충정로3가 139(동아일보사옥내),02)392-8161,15,,,,,,,,,,,,,,,
58,중계2동지점,20225,서울 노원구 중계2동 506 브라운스톤 177호,02)975-5162,19,,,,,,,,,,,,,,,
59,신도림동금융센터,20229,서울 구로구 신도림동 437-1 태영프라자 1층,02)2672-7800,4,,,,,,,,,,,,,,,
60,테크노마트금융센터,20230,서울 광진구 구의동 546-4,02)3424-3411,13,,,,,,,,,,,,,,,
61,아시아선수촌PB영업점,20231,서울 송파구 잠실7동 85,02)421-6704,27,,,,,,,,,,,,,,,
62,방학동지점,20252,서울 도봉구 방학3동 736 신동아타워상가 1층,02)956-9992,28,,,,,,,,,,,,,,,
63,도곡스위트지점,20273,서울 강남구 도곡동 467-7 아카데미스위트,02)2058-1100,3,,,,,,,,,,,,,,,
64,서울디지털3단지지점,20645,서울 금천구 가산동 426-5 월드메르디앙 벤처센터 2차 1층,02) 2025-8170,26,,,,,,,,,,,,,,,
65,석계역지점,20278,서울 성북구 석관동 168-56,02)941-5550,4,,,,,,,,,,,,,,,
66,역촌동지점,20295,서울 은평구 역촌동 1-5 신성빌딩1층,02)388-3382,27,,,,,,,,,,,,,,,
67,서교동금융센터,20298,서울 마포구 서교동 378-5,02)324-0632,6,,,,,,,,,,,,,,,
68,압구정로데오지점,20305,서울 강남구 신사동 660-5,02)516-2177,1,,,,,,,,,,,,,,,
69,잠실역금융센터,20308,서울 송파구 신천동 7-18 잠실롯데캐슬PLAZA 1층,02)414-1177,12,,,,,,,,,,,,,,,
70,신당역지점,20320,서울 중구 흥인동 29,02)2252-1135,11,,,,,,,,,,,,,,,
71,중계동지점,20324,서울 노원구 중계1동 360-7,02)952-2540,0,,,,,,,,,,,,,,,
72,평창동지점,20327,서울 종로구 평창동 81-3,02)396-0030,13,,,,,,,,,,,,,,,
73,CJ금융센터,20350,서울 중구 쌍림동 146-17,02)2266-3200,10,,,,,,,,,,,,,,,
74,길음뉴타운지점,20405,서울 성북구 길음동 1284 삼성래미안 상가A동,02)912-2100,1,,,,,,,,,,,,,,,
75,중랑교금융센터,20479,서울 중랑구 상봉2동 130-2,02)432-7661,21,,,,,,,,,,,,,,,
76,한경미디어지점,20485,서울 중구 중림동 441외 한국경제신문사 사옥내,02)365-8141,4,,,,,,,,,,,,,,,
77,도곡렉슬지점,20501,서울 강남구 도곡동 527-3 도곡렉슬 단지내상가,02)2057-9900,2,,,,,,,,,,,,,,,
78,혜화동지점,20512,서울 종로구 혜화동 132-1,02)766-5321,7,,,,,,,,,,,,,,,
79,재동지점,20513,서울 종로구 재동 111-5,02)732-1136,21,,,,,,,,,,,,,,,
80,신설동지점,20514,서울 종로구 숭인동 1256,02)928-4695,2,,,,,,,,,,,,,,,
81,광희동금융센터,20516,서울 중구 광희동 216,02)2279-9101,28,,,,,,,,,,,,,,,
82,영등포중앙금융센터,20517,서울 영등포구 영등포동 4가 142,02)2678-7921,21,,,,,,,,,,,,,,,
83,홍제동지점,20520,서울 서대문구 홍제3동 266-56,02)395-4766,12,,,,,,,,,,,,,,,
84,전농동지점,20522,서울 동대문구 전농4동 295-53,02)2212-0321,23,,,,,,,,,,,,,,,
85,미아역지점,20527,서울 강북구 미아동 207-1,02)989-9111,5,,,,,,,,,,,,,,,
86,상도동금융센터,20530,서울 동작구 상도동 368-40,02)813-4111,0,,,,,,,,,,,,,,,
87,화양동지점,20532,서울 성동구 성수동2가 281-13,02)461-1901,11,,,,,,,,,,,,,,,
88,응암로지점,20538,서울 은평구 응암3동 578-3,02)303-5610,28,,,,,,,,,,,,,,,
89,여의도북지점,20539,서울 영등포구 여의도동 30-3,02)784-1941,3,,,,,,,,,,,,,,,
90,삼성중앙역지점,20540,서울 강남구 삼성동 117-1,02)563-9671,2,,,,,,,,,,,,,,,
91,원효로지점,20543,서울 용산구 원효로 3가 56-4,02)714-0026,2,,,,,,,,,,,,,,,
