gu_name,waiting_personal_num ,waiting_company_num ,profit ,visited_personal_num ,visited_company_num ,Date 
강남구,47,10,419,72,8,"Saturday, August 6, 2022"
서초구,49,15,513,62,13,"Thursday, August 4, 2022"
동작구,47,9,503,43,13,"Wednesday, July 27, 2022"
은평구,59,19,444,70,11,"Monday, August 1, 2022"
중랑구,78,6,493,78,8,"Wednesday, July 27, 2022"
강동구,71,6,568,76,5,"Sunday, August 7, 2022"
송파구,34,7,462,74,6,"Saturday, August 6, 2022"
관악구,33,15,593,23,12,"Tuesday, July 26, 2022"
금천구,77,12,574,41,11,"Monday, July 25, 2022"
구로구,27,16,582,36,11,"Sunday, July 31, 2022"
마포구,57,7,580,53,5,"Friday, July 29, 2022"
서대문구,63,17,450,64,6,"Sunday, July 31, 2022"
중구,25,18,473,37,8,"Friday, July 29, 2022"
성북구,34,19,586,50,9,"Wednesday, July 27, 2022"
종로구,44,11,483,53,8,"Thursday, July 28, 2022"
영등포구,27,11,514,47,10,"Tuesday, August 2, 2022"
관악구,44,10,534,56,5,"Thursday, July 28, 2022"
강동구,41,9,456,24,8,"Sunday, August 7, 2022"
송파구,40,13,508,26,9,"Tuesday, August 2, 2022"
관악구,64,17,464,41,12,"Monday, July 25, 2022"
금천구,71,17,472,28,9,"Tuesday, August 2, 2022"
구로구,67,6,589,55,9,"Saturday, July 30, 2022"
마포구,32,10,559,22,8,"Tuesday, August 2, 2022"
강남구,30,19,480,32,10,"Monday, August 1, 2022"
서초구,43,8,598,76,8,"Wednesday, July 27, 2022"
동작구,47,8,453,75,9,"Sunday, July 31, 2022"
은평구,21,17,479,64,7,"Friday, July 29, 2022"
중랑구,29,13,482,45,8,"Sunday, July 31, 2022"
강동구,74,9,589,59,13,"Sunday, August 7, 2022"
송파구,61,9,494,77,5,"Saturday, July 30, 2022"
관악구,22,15,588,62,7,"Thursday, August 4, 2022"
금천구,76,6,546,69,13,"Tuesday, July 26, 2022"
구로구,60,11,569,45,9,"Friday, August 5, 2022"
마포구,75,8,503,20,9,"Friday, July 29, 2022"
서대문구,33,8,592,30,13,"Monday, July 25, 2022"
중구,42,18,455,43,11,"Friday, August 5, 2022"
성북구,45,14,432,25,9,"Saturday, July 30, 2022"
종로구,40,19,498,46,10,"Monday, July 25, 2022"
영등포구,20,12,494,67,7,"Wednesday, July 27, 2022"
관악구,23,13,504,63,10,"Friday, July 29, 2022"
강동구,57,7,535,56,11,"Monday, July 25, 2022"
송파구,73,19,449,32,5,"Tuesday, August 2, 2022"
관악구,37,14,461,79,10,"Thursday, August 4, 2022"
금천구,31,14,475,30,13,"Saturday, August 6, 2022"
구로구,42,11,552,44,9,"Monday, August 1, 2022"
마포구,69,17,487,74,13,"Tuesday, July 26, 2022"
강남구,78,15,499,77,7,"Friday, July 29, 2022"
서초구,79,16,401,42,8,"Sunday, July 31, 2022"
동작구,77,18,430,65,6,"Monday, July 25, 2022"
은평구,71,9,531,35,10,"Wednesday, August 3, 2022"
중랑구,46,11,416,45,10,"Friday, July 29, 2022"
강동구,71,12,485,20,7,"Tuesday, August 2, 2022"
송파구,79,9,494,45,5,"Friday, August 5, 2022"
관악구,49,16,425,38,10,"Tuesday, August 2, 2022"
금천구,77,13,448,69,8,"Friday, July 29, 2022"
구로구,27,18,409,25,6,"Sunday, August 7, 2022"
마포구,52,6,463,34,10,"Thursday, August 4, 2022"
서대문구,63,13,553,68,10,"Monday, July 25, 2022"
중구,26,8,569,27,6,"Tuesday, July 26, 2022"
성북구,68,11,511,29,13,"Sunday, August 7, 2022"
종로구,59,16,583,49,8,"Sunday, July 31, 2022"
영등포구,36,10,453,22,9,"Monday, July 25, 2022"
관악구,64,11,561,32,8,"Sunday, August 7, 2022"
강동구,51,13,518,69,12,"Thursday, August 4, 2022"
송파구,30,14,567,42,12,"Wednesday, August 3, 2022"
관악구,66,16,585,49,7,"Wednesday, August 3, 2022"
금천구,44,12,456,78,12,"Wednesday, August 3, 2022"
구로구,70,12,504,53,7,"Monday, August 1, 2022"
마포구,62,11,509,26,9,"Saturday, August 6, 2022"
강남구,53,6,454,73,8,"Monday, August 1, 2022"
서초구,26,8,560,30,8,"Tuesday, July 26, 2022"
동작구,71,9,498,43,12,"Monday, August 1, 2022"
은평구,74,10,583,42,8,"Saturday, August 6, 2022"
중랑구,60,19,402,21,7,"Saturday, August 6, 2022"
강동구,70,13,595,44,8,"Wednesday, August 3, 2022"
송파구,45,8,446,62,12,"Thursday, August 4, 2022"
관악구,54,16,558,75,9,"Sunday, August 7, 2022"
금천구,24,17,585,55,8,"Thursday, July 28, 2022"
구로구,76,12,592,32,9,"Wednesday, August 3, 2022"
마포구,47,19,427,35,8,"Sunday, August 7, 2022"
서대문구,63,18,415,79,13,"Thursday, July 28, 2022"
중구,66,17,565,20,10,"Tuesday, August 2, 2022"
